id,title,description,severity,component,status,created_at,customer_impact
1,App crashes on login,App crashes when user enters credentials and taps login,High,Auth,Open,2026-03-01,Users unable to access account
2,Slow checkout process,Checkout takes more than 15 seconds to complete,Medium,Payments,Open,2026-03-02,Drop in conversion rate
3,Incorrect order total,Order total not including tax correctly,High,Cart,Open,2026-03-02,Financial discrepancies
4,UI glitch on profile page,Profile picture overlaps with text on iPhone 14,Low,UI,Open,2026-03-03,Minor UX issue
5,Search returns irrelevant results,Search results not matching query terms,Medium,Search,Open,2026-03-03,User frustration
6,App crash on login,Crash occurs intermittently when logging in with Google,High,Auth,Open,2026-03-04,Login failures
7,Payment declined incorrectly,Valid credit cards are being rejected,High,Payments,Open,2026-03-04,Lost revenue
8,Notifications not received,Push notifications not delivered on Android devices,Medium,Notifications,Open,2026-03-05,Reduced engagement
9,Cart items disappear,Items removed from cart after refresh,High,Cart,Open,2026-03-05,Lost purchases
10,Slow app startup,App takes 10+ seconds to load initial screen,Medium,Performance,Open,2026-03-06,User churn risk
11,Search crashes app,App crashes when searching long queries,High,Search,Open,2026-03-06,Feature unusable
12,Profile update not saved,Changes to profile not persisting after save,Medium,Profile,Open,2026-03-07,User frustration
13,Duplicate notifications,Users receive same notification multiple times,Low,Notifications,Open,2026-03-07,Annoyance
14,Checkout button unresponsive,Button does not respond on first tap,High,Payments,Open,2026-03-08,Checkout failure
15,Image upload fails,Users unable to upload profile pictures,Medium,Profile,Open,2026-03-08,Incomplete profiles
16,App freezes on home screen,App becomes unresponsive after opening,High,Performance,Open,2026-03-09,Users blocked
17,Search results delayed,Search results take too long to appear,Medium,Search,Open,2026-03-09,Poor UX
18,Cart total incorrect,Discounts not applied correctly,High,Cart,Open,2026-03-10,Revenue impact
19,Login session expires too soon,Users logged out after short inactivity,Medium,Auth,Open,2026-03-10,User annoyance
20,Notifications delayed,Push notifications delivered hours late,Low,Notifications,Open,2026-03-11,Reduced engagement
21,Password reset email not sent,Users do not receive password reset emails after requesting them,High,Auth,Open,2026-03-11,Users locked out of accounts
22,Apple Pay integration broken,Apple Pay fails silently at payment confirmation step,High,Payments,Open,2026-03-12,Lost revenue on iOS
23,Wishlist not persisting,Items added to wishlist disappear after app restart,Medium,Cart,Open,2026-03-12,User frustration
24,Dark mode text unreadable,Text contrast insufficient in dark mode on settings screen,Medium,UI,Open,2026-03-13,Accessibility issue
25,Search filters not applying,Selecting price or category filter has no effect on results,High,Search,Open,2026-03-13,Users cannot narrow results
26,Biometric login fails on Android,Fingerprint authentication rejected even when registered,High,Auth,Open,2026-03-14,Users forced to use password fallback
27,Refund not processed,Refund requests submitted but no confirmation and no credit issued,High,Payments,Open,2026-03-14,Financial loss for users
28,Promo code not applied,Valid promo codes rejected at checkout with no error message,Medium,Cart,Open,2026-03-15,Revenue and trust impact
29,Onboarding screens skip randomly,Tapping next skips multiple onboarding screens on iPad,Low,UI,Open,2026-03-15,Incomplete onboarding
30,Search autocomplete crashes,Autocomplete suggestions cause app crash on slow connections,High,Search,Open,2026-03-16,Feature unusable on poor networks
31,Notification tap does not navigate,Tapping a push notification opens app but does not navigate to relevant content,Medium,Notifications,Open,2026-03-16,Reduced engagement
32,Profile bio not rendering markdown,Markdown formatting in bio displays raw syntax instead of rendered text,Low,Profile,Open,2026-03-17,Minor UX issue
33,Memory leak on home screen,App memory usage grows unbounded after leaving home screen open for 10 minutes,High,Performance,Open,2026-03-17,App crash after extended use
34,OAuth token not refreshing,Users silently logged out when OAuth token expires without refresh attempt,High,Auth,Open,2026-03-18,Unexpected session termination
35,Duplicate charges on retry,Retrying a failed payment results in duplicate charge on user card,High,Payments,Open,2026-03-18,Financial harm to users
36,Cart quantity not updating,Incrementing item quantity in cart shows old value until page reload,Medium,Cart,Open,2026-03-19,Confusing UX
37,Button labels truncated on small screens,CTA button text cut off on iPhone SE and similar small devices,Low,UI,Open,2026-03-19,Reduced clarity
38,Search not returning recent items,Items listed within last 24 hours do not appear in search results,High,Search,Open,2026-03-20,Sellers losing visibility
39,Email notification opt-out ignored,Users who unsubscribed from emails continue to receive marketing messages,High,Notifications,Open,2026-03-20,Legal compliance risk
40,Profile photo cropping broken,Cropping tool does not save changes and reverts to original image,Medium,Profile,Open,2026-03-21,Incomplete profiles
41,Slow image loading on product pages,Product images take 8+ seconds to load on LTE connections,Medium,Performance,Open,2026-03-21,User drop-off on product pages
42,SSO login loop,Users authenticating via SSO redirected in infinite loop and never land on home screen,High,Auth,Open,2026-03-22,Users completely blocked
43,Payment method not saved,Selecting save card during checkout does not persist for future orders,Medium,Payments,Open,2026-03-22,Friction on repeat purchases
44,Remove from cart fails silently,Tapping remove on cart item shows no confirmation and item remains,Medium,Cart,Open,2026-03-23,User confusion
45,Tooltip overlaps content on scroll,Tooltips remain fixed on screen while user scrolls causing content overlap,Low,UI,Open,2026-03-23,Minor UX issue
46,Search ranking inconsistent,Same query returns different result ordering on consecutive searches,Medium,Search,Open,2026-03-24,Unpredictable user experience
47,Notification badge count incorrect,App icon badge shows wrong unread count after clearing notifications,Low,Notifications,Open,2026-03-24,Minor UX issue
48,Profile link sharing broken,Sharing profile URL generates link that returns 404,High,Profile,Open,2026-03-25,Users cannot share profiles
49,ANR on low-end Android devices,App Not Responding dialog triggered on devices with less than 3GB RAM during search,High,Performance,Open,2026-03-25,App unusable on budget devices
50,Two-factor authentication code not accepted,Valid TOTP codes rejected intermittently during login,High,Auth,Open,2026-03-26,Users locked out intermittently
51,Currency conversion incorrect,Prices shown in local currency use outdated exchange rates,Medium,Payments,Open,2026-03-26,User mistrust and potential disputes
52,Cart merge fails after login,Guest cart items not merged with account cart after user logs in,Medium,Cart,Open,2026-03-27,Lost items on login
